 Filter     Telescope  Instrument  System   Cenwave  Zeropoint
      H         GROND          --    Vega  16329.48    1016.37
      H    UltraVISTA          --      AB   Generic    3631.00
      i            --          --      AB   Generic    3631.00
      I            --          --    Vega   Generic    Generic
      i            GN          --      AB   Generic    3631.00
      i            GS          --      AB   Generic    3631.00
      i            LT          --      AB   Generic    3631.00
      I            LT          --    Vega   Generic    Generic
      i            LT         IOO      AB   7589.41    3631.00
      i            LT      RATCam      AB   7655.03    3631.00
      I            LT      RATCam    Vega   Generic    Generic
      i           DCT          --      AB   Generic    3631.00
      i           DES          --      AB   Generic    3631.00
      i           FTN          --      AB   Generic    3631.00
      I           FTN     HawkCam    Vega   Generic    Generic
      i           FTS          --      AB   Generic    3631.00
      I           FTS          --    Vega   Generic    Generic
      i           INT          --      AB   Generic    3631.00
      i           LBT          --      AB   Generic    3631.00
      i           LCO          --      AB   Generic    3631.00
      i           LCO         LCO      AB   Generic    3631.00
      i           LCO    Sinistro      AB   Generic    3631.00
      i           LOT          --      AB   Generic    3631.00
      i           MDM          --      AB   Generic    3631.00
      i           MMT          --      AB   Generic    3631.00
      i           MMT      MMTCam      AB   Generic    3631.00
      i           MMT    Binospec      AB   Generic    3631.00
      i           NOT          --      AB   Generic    3631.00
      i           NOT      ALFOSC      AB   Generic    3631.00
      i           NTT          --      AB   Generic    3631.00
      I           NTT          --    Vega   Generic    Generic
      i           NTT          --    Vega   Generic    Generic
      i           NTT      EFOSC2      AB   Generic    3631.00
      I           NTT      EFOSC2    Vega   Generic    Generic
      i           P48         ZTF      AB   7829.03    3631.00
      i           P60          --      AB   Generic    3631.00
      i           P60        SEDM      AB   Generic    3631.00
      i           P60      GRBcam      AB   Generic    3631.00
      I           P60     P60-Cam    Vega   Generic    Generic
      i           PS1          --      AB   7503.03    3631.00
      i           PS1        GPC1      AB   7503.03    3631.00
      i           PS2        GPC2      AB   7503.03    3631.00
      i           PTF          --      AB   Generic    3631.00
      I           SLT          --      AB   Generic    3631.00
      i           TNG          --      AB   Generic    3631.00
      i           TNT          --      AB   Generic    3631.00
      I           VLT      RATCam    Vega   Generic    Generic
      i           WHT          --      AB   Generic    3631.00
      i           WHT        ACAM      AB   Generic    3631.00
      I           WHT  AuxPortCam    Vega   Generic    Generic
      i          CFHT          --      AB   Generic    3631.00
      i          CPCS          --      AB   Generic    3631.00
      i          FLWO   KeplerCam      AB   7645.77    3631.00
      i          Gaia        Gaia      AB   Generic    3631.00
      i          Gaia Astrometric      AB   Generic    3631.00
      i          IO:O          --      AB   Generic    3631.00
      I          OGLE          --    Vega   7931.81    2419.92
      i          P200        WASP      AB   Generic    3631.00
      i          Post          --      AB   Generic    3631.00
      i          SDSS          --      AB   7457.89    3631.00
      i          SNLS          --    Vega   Generic    Generic
