Object,Phase_peak,Phase_exp,Best_v,Lower_e,Upper_e
2020xgd,10.32,40.73,-22512.98514570102,2348.5399481592813,2348.5399481592813
2021txk,10.43,40.82,-21499.353214228533,6368.048357864441,2348.5399481592813
LSQ14mo,10.47,35.39,-14228.493398089342,2348.5399481592813,2348.5399481592813
2018hti,10.53,65.69,-20115.355769333404,2348.5399481592813,2348.5399481592813
2019aamp,10.65,39.63,-18672.87955916102,2348.5399481592813,2348.5399481592813
2021zcl,10.71,58.91,-18770.344167956453,2348.5399481592813,2348.5399481592813
2020htd,10.83,78.08,-18760.597707076908,2348.5399481592813,2348.5399481592813
2019otl,10.87,67.57,-26216.64027992742,2348.5399481592813,2348.5399481592813
2011ke,10.96,36.88,-15865.898825852591,2348.5399481592813,2348.5399481592813
2018bgv,11.14,26.74,-15968.967035811494,2688.180637978036,2688.180637978036
2018fcg,11.15,32.44,-10148.446044590915,2688.180637978036,2688.180637978036
2021uvy,11.45,66.56,-19079.094667636225,2688.180637978036,2688.180637978036
2021txk,11.56,41.95,-19907.81206169611,5693.56787457566,2688.180637978036
iPTF13ajg,11.56,40.16,-15383.990051769226,2688.180637978036,2688.180637978036
PTF10bjp,11.62,55.21,-10762.671877835299,2688.180637978036,2688.180637978036
iPTF15eov,11.91,34.01,-18806.1054084165,2789.05273209382,2688.180637978036
2021hpx,12.13,59.47,-17226.667551502374,2688.180637978036,2692.343800928849
2016eay,12.14,50.74,-18191.87957517212,2688.180637978036,2688.180637978036
2016wi,12.2,54.49,-13843.550660457917,2688.180637978036,2688.180637978036
2019neq,12.32,42.3,-17441.159112317873,2711.681239083975,2688.180637978036
2018bsz,12.37,36.19,-15520.484681379088,2688.180637978036,2688.180637978036
2012il,12.4,32.78,-18767.106942813683,2688.180637978036,2688.180637978036
2020rmv,12.42,70.5,-17899.391083150986,2688.180637978036,2688.180637978036
SSS120810,12.54,37.6,-18230.878040774936,2689.4637276602193,2707.7509380295674
2021uvy,12.59,67.7,-18250.377273576345,2688.180637978036,2688.180637978036
2018hti,12.59,67.75,-20356.294416128516,2688.180637978036,2697.9279349901103
2011ke,12.71,38.63,-15627.730461786838,2688.180637978036,3373.116532585259
iPTF16eh,12.83,59.02,-17987.137630757323,2717.4280381272292,2688.180637978036
2018gkz,12.87,81.51,-15296.243504162885,2688.180637978036,2688.180637978036
2009jh,13.05,70.71,-17411.647791135187,2619.799238892171,2619.799238892171
