Object,Phase_peak,Phase_exp,Best_v,Lower_e,Upper_e
2019gfm,13.26,34.12,-14074.164622805145,2619.799238892171,2675.0416916564122
iPTF13ehe,13.57,91.99,-16718.7784784117,2619.799238892171,2619.799238892171
2011kg,13.64,43.62,-18377.761339862303,2619.799238892171,2619.799238892171
PTF10bfz,13.94,34.96,-21851.86662619416,2619.799238892171,2737.3980441470326
2018bgv,13.97,29.57,-15401.350911965628,2619.799238892171,2619.799238892171
2020afag,14.16,54.98,-23569.401823931257,2749.354115442389,2619.799238892171
2019obk,14.31,54.01,-9955.983637321875,2619.799238892171,2619.799238892171
2021bnw,14.38,56.24,-24301.306027512408,2619.799238892171,2619.799238892171
2011ke,14.46,40.38,-12981.187678790628,2619.799238892171,2619.799238892171
2020aup,14.89,35.61,-14103.44079094839,2619.799238892171,4898.259696269686
2019gfm,14.99,35.85,-13283.708082937503,2625.5186253576644,2619.799238892171
2021ybf,15.0,64.96,-9233.838156455142,7520.3622287826,25643.974887916655
2020uew,15.22,41.09,-18088.802604472436,1585.9258724480158,1585.9258724480158
2019sgh,15.41,36.16,-21834.647670384802,1585.9258724480158,1585.9258724480158
2018don,15.53,88.49,-15888.240881677964,1585.9258724480158,1585.9258724480158
2009cb,15.66,33.28,-15868.680333030901,1586.5878081278704,1585.9258724480158
LSQ12dlf,15.99,47.57,-17619.349436942946,1585.9258724480158,1585.9258724480158
2018hti,16.36,71.52,-21678.163281208304,1585.9258724480158,1585.9258724480158
PTF10uhf,16.38,37.63,-9159.41214708865,1585.9258724480158,1585.9258724480158
2002gh,16.55,82.11,-17345.50175588408,1585.9258724480158,1585.9258724480158
iPTF16asu,16.63,26.23,-23467.953482414476,1585.9258724480158,1585.9258724480158
2010hy,16.78,56.04,-16993.411880236967,1585.9258724480158,1585.9258724480158
LSQ14mo,16.91,41.83,-13540.975044030529,1585.9258724480158,1585.9258724480158
2020uew,17.02,42.89,-19668.502914020388,1446.0019542172133,1446.0019542172133
2012aa,17.04,54.48,-16646.136346533596,1446.0019542172133,1674.3421548775507
2020wnt,17.07,88.66,-9554.823202753909,1446.0019542172133,1446.0019542172133
2019dgr,17.09,46.35,-18220.896920531566,1462.3685074563114,1449.3176503444647
2020xga,17.22,54.37,-20441.211518652934,1446.0019542172133,1446.0019542172133
2011kf,17.33,42.45,-10933.961345199337,1446.0019542172133,25540.76979363778
2018hti,17.6,72.76,-22309.405739979724,1469.4630487358302,1446.0019542172133
PS110bzj,17.69,35.9,-19423.974874579708,1446.0019542172133,1453.726814638844
2019J,18.13,66.49,-19101.197862518013,1446.0019542172133,1448.3858780035105
2019J,18.31,66.67,-19062.073376207503,1446.0019542172133,1446.0019542172133
2019unb,18.59,76.95,-20724.86404440412,1446.0019542172133,1446.0019542172133
2011kg,18.68,48.66,-17487.31280220953,1446.0019542172133,1446.0019542172133
2019bgu,18.82,43.78,-14914.877827293589,1446.0019542172133,1446.0019542172133
2018hti,18.87,74.03,-23287.517897742433,1446.0019542172133,1446.0019542172133
2020znr,18.91,92.5,-17917.682151625126,1446.0019542172133,1446.0019542172133
2018hti,19.06,74.22,-16824.94667369376,1291.1782564773928,1291.1782564773928
iPTF16asu,19.13,28.73,-19464.82008592624,1291.1782564773928,1291.1782564773928
2020xgd,19.18,49.59,-15984.098105353045,1291.1782564773928,1291.1782564773928
PTF09atu,19.19,92.64,-9941.721184020922,1291.1782564773928,1291.1782564773928
2019ieh,19.33,32.21,-10645.687427282917,1291.1782564773928,4459.825253303093
OGLE15xl,19.44,56.54,-12122.061076346266,1291.1782564773928,15234.485265016341
2018bgv,19.44,35.04,-9071.540688877622,1291.1782564773928,27550.0914933145
2002gh,19.48,85.04,-16922.719763035704,1291.1782564773928,1291.1782564773928
PTF12dam,19.66,94.77,-20305.668654266956,1373.8781932908025,1291.1782564773928
2020znr,19.79,93.38,-15886.325016011102,1291.1782564773928,1291.1782564773928
2018cxa,19.83,43.26,-9980.8304197577,1291.1782564773928,1291.1782564773928
2010md,20.01,60.63,-20608.765231226982,1291.1782564773928,1291.1782564773928
2018lzx,20.09,108.55,-15338.795715696217,1291.1782564773928,1291.1782564773928
2018cxa,20.15,43.58,-10117.71274483642,1291.1782564773928,1291.1782564773928
2002gh,20.21,85.77,-14057.968245316753,1291.1782564773928,1291.1782564773928
2018hti,20.25,75.41,-18995.509257084912,1291.1782564773928,1291.1782564773928
2016eay,20.34,58.94,-13989.527082777393,1291.1782564773928,1291.1782564773928
2018ibb,20.47,133.73,-13637.543961146395,1291.1782564773928,1291.1782564773928
2019kws,20.54,56.72,-8132.919031194962,1291.9912112704171,1351.0149110946184
2020wnt,20.57,92.16,-8162.250957997545,1291.1782564773928,1291.1782564773928
2011ke,20.59,46.51,-11887.405661925603,1291.1782564773928,1291.1782564773928
LSQ12dlf,20.75,52.33,-13578.880107541228,1291.1782564773928,1559.3400174432772
2020znr,20.78,94.37,-16600.068568207287,1392.1355142370298,1291.1782564773928
2010md,20.92,61.54,-17313.81212040348,1331.4433108472924,1291.1782564773928
2016eay,21.2,59.8,-12430.891411378556,1301.2780659413268,1333.9507505526583
iPTF16asu,21.36,30.96,-15841.479569167956,1301.2780659413268,1301.2780659413268
2020wnt,21.49,93.08,-7740.111137055025,1301.2780659413268,1301.2780659413268
2015bn,21.56,108.27,-13271.322877194854,1301.2780659413268,1301.2780659413268
2021vuw,22.11,68.2,-10339.58520574265,1301.2780659413268,1301.2780659413268
2018bgv,22.31,37.91,-11414.555685275123,1301.2780659413268,1301.2780659413268
2019aamx,22.45,67.94,-14092.209425201472,1301.2780659413268,1301.2780659413268
2021vuw,22.51,68.6,-10349.357664647488,1301.2780659413268,1301.2780659413268
2020znr,22.52,96.11,-13486.31697310135,1301.2780659413268,1301.2780659413268
2015bn,22.66,109.37,-12978.149110049635,1619.9458648053644,1303.9266102430765
2019kwt,22.89,86.67,-13750.173363532049,1301.2780659413268,1301.2780659413268
PTF09cnd,22.97,78.6,-17405.072993942467,5194.634212810369,1315.9500769026156
2013dg,23.21,50.11,-12659.091567486792,1147.9737941695357,1147.9737941695357
2011ke,23.21,49.13,-13021.08711106367,1147.9737941695357,1147.9737941695357
PTF10aagc,23.42,33.44,-9136.972765117149,1166.5092507562895,1147.9737941695357
2021bnw,23.45,65.31,-18470.5875913967,1147.9737941695357,1147.9737941695357
2020znr,23.54,97.13,-13617.890574798528,1147.9737941695357,1147.9737941695357
SSS120810,23.81,48.87,-8872.813854939424,1147.9737941695357,1147.9737941695357
2020fvm,23.84,127.81,-10986.085136361211,1248.136143255214,1147.9737941695357
2018ibb,23.85,137.11,-9440.266328654534,1147.9737941695357,1147.9737941695357
2019cwu,23.86,69.84,-11406.782659977585,1147.9737941695357,1147.9737941695357
2020onb,24.13,70.78,-11817.696520254043,1190.2704869482397,1147.9737941695357
2018hti,24.2,79.36,-17707.46185088328,1147.9737941695357,1147.9737941695357
2016ard,24.24,54.74,-13167.842061162406,1315.4253426553707,1147.9737941695357
2020qlb,24.97,99.52,-16885.63413033036,1147.9737941695357,1147.9737941695357
2019xaq,25.43,48.47,-12322.838103751934,862.3815200339117,862.3815200339117
2018hti,25.67,80.83,-19239.739512061697,1002.0488441667901,862.3815200339117
2016eay,25.79,64.39,-12860.92802943374,862.3815200339117,862.3815200339117
2019xaq,25.87,48.91,-12371.755369723007,862.3815200339117,862.3815200339117
2019vvc,25.9,67.65,-12616.341699578374,862.3815200339117,862.3815200339117
PTF10bfz,25.9,46.92,-12733.74313790895,862.3815200339117,862.3815200339117
2019gqi,25.92,56.01,-17889.622971260076,862.3815200339117,862.3815200339117
2018gkz,26.2,94.84,-12508.723714442012,862.3815200339117,862.3815200339117
2005ap,26.26,40.45,-12489.156808053584,862.3815200339117,862.3815200339117
2018hti,26.36,81.52,-18251.610739446016,862.3815200339117,862.3815200339117
2010md,26.39,67.01,-21039.894899797193,862.3815200339117,862.3815200339117
2021zcl,26.69,74.89,-11931.499975983348,863.5982202945997,862.3815200339117
2010kd,26.75,78.63,-13428.368314698191,862.3815200339117,862.3815200339117
PTF09cnd,26.94,82.57,-16950.411464615467,901.1669579473051,862.3815200339117
2019ujb,26.99,64.97,-13340.317235950259,862.3815200339117,862.3815200339117
2018bym,27.21,69.29,-12113.67120270054,783.0892131066549,783.0892131066549
2019kwu,27.27,52.26,-11722.7136054331,802.0154086325275,795.0652273140865
2018ibb,27.28,140.54,-16140.534454555158,2173.506088255563,783.0892131066549
2022pjq,27.69,47.12,-10784.415371991248,783.0892131066549,783.0892131066549
PTF10iam,27.84,41.52,-6669.5866607514545,836.2587612001444,16018.839805544096
2020ank,27.9,55.13,-12866.264577440359,783.0892131066549,783.0892131066549
2020uew,28.4,54.27,-13697.049471633667,783.0892131066549,783.0892131066549
2016wi,28.87,71.16,-14283.485867534824,783.0892131066549,783.0892131066549
2018ibb,28.88,142.14,-12973.777916688905,783.0892131066549,1627.3071976993158
2010gx,29.26,52.67,-9156.297647702408,1082.3893096293957,1082.3893096293957
2011ke,29.34,55.26,-6829.8982974862565,1463.443411136898,29879.4438806615
2019xdy,30.79,78.32,-5705.797771121311,1082.3893096293957,31078.693129177744
2009jh,30.83,88.49,-11365.399551689172,1082.3893096293957,1082.3893096293957
2021een,31.1,59.96,-8397.533097614347,1237.1980126479352,1237.1980126479352
2016eay,31.17,69.77,-10422.926790574798,1237.1980126479352,1237.1980126479352
2018lzw,31.36,79.88,-8113.782290388002,1237.1980126479352,1237.1980126479352
2019cca,31.38,66.5,-8015.937184447884,1237.1980126479352,1237.1980126479352
2019zeu,31.57,58.57,-1567.9447029940757,1237.1980126479352,35021.716961372695
SSS120810,31.61,56.67,-4718.557114265891,1237.1980126479352,31793.92330182766
2022ful,31.67,71.74,-8407.31760820836,1237.1980126479352,1237.1980126479352
PTF09cnd,31.71,87.34,-18935.451007365107,2443.9228552677355,1237.1980126479352
2016ard,31.73,62.23,-12037.371038586754,1237.1980126479352,1237.1980126479352
2019gqi,31.98,62.07,-15090.13834391845,1237.1980126479352,1237.1980126479352
2015bn,32.34,119.05,-8358.3950552383,1237.1980126479352,1237.1980126479352
2020adkm,32.4,106.18,-12917.976992047821,1237.1980126479352,1237.1980126479352
2017gci,32.46,59.69,-6499.338042376047,1237.1980126479352,6458.812500955574
2020uew,32.59,58.46,-8329.041523456264,1237.1980126479352,1237.1980126479352
2019sgh,32.61,53.36,-10041.330877408338,1237.1980126479352,1237.1980126479352
2018hti,32.73,87.89,-18367.94939291242,1342.2216368767122,1237.1980126479352
2018lfe,32.93,62.19,-11088.273510967605,1237.1980126479352,1237.1980126479352
2016wi,33.16,75.45,-11112.201051395634,1380.9554405917663,1380.9554405917663
2020xga,33.21,70.36,-10114.094550888616,1405.5027317298247,1421.1044750123053
2010gx,33.33,56.74,-12805.067959118322,1479.4045859398975,1416.3113813353332
2020abjc,33.48,140.62,-15486.256009499919,1380.9554405917663,1380.9554405917663
LSQ12dlf,33.53,65.11,-10055.382403799968,1380.9554405917663,1380.9554405917663
2021txk,33.58,63.97,-10045.59704595186,1384.4269315857734,2379.209517654971
2018bsz,33.8,57.62,-15182.909916208571,1461.8953207736865,1380.9554405917663
2018lfe,33.86,63.12,-10759.928168863746,1380.9554405917663,1380.9554405917663
2018hti,34.13,89.29,-16924.703613171798,1380.9554405917663,1380.9554405917663
PS114bj,34.26,157.63,-10143.450624432939,3039.9240005138286,1380.9554405917663
2011ke,34.59,60.51,-5622.615298607035,1380.9554405917663,1387.7816575023608
iPTF15eov,34.66,56.76,-13490.043008485884,1380.9554405917663,1380.9554405917663
2016wi,34.92,77.21,-11728.678595826439,1514.5751644933307,1380.9554405917663
PS114bj,35.58,158.95,-7769.454106847415,1480.1219637583924,1480.1219637583924
2002gh,35.59,101.15,-10061.609484575973,1486.4928616041182,1480.1219637583924
2022ued,35.91,78.91,-8559.516173213427,1480.1219637583924,1480.1219637583924
2012aa,36.55,73.99,-7710.930990820302,1480.1219637583924,1480.1219637583924
iPTF16eh,37.17,83.36,-8834.043472140684,2040.0424035053782,2040.0424035053782
iPTF13dcc,37.7,96.92,-10370.509041602178,2040.0424035053782,2040.0424035053782
2018hti,38.03,93.19,-10992.874841890376,2040.0424035053782,5687.519055625219
PTF12dam,40.43,115.54,-8827.322879863372,7071.324530022646,1678.3118330334205
2019qgk,41.82,73.93,-6331.846189357954,5386.2841748370465,278.6704363580751
iPTF15eov,42.12,64.22,-8850.75857527886,1709.8997666822463,278.6704363580751
2020exj,42.39,63.28,-3773.72894139937,278.6704363580751,32231.049582849457
2020exj,42.69,63.58,-4793.055354379036,1159.5504353412146,31191.084578964226
2018ibb,43.3,156.56,-10285.586499973315,106.44279305810234,106.44279305810234
LSQ12dlf,43.88,75.46,-8346.875026685168,106.44279305810234,106.44279305810234
2020znr,44.18,117.77,-8934.363351924001,106.44279305810234,106.44279305810234
2011ke,44.22,70.14,-3010.5227390991085,106.44279305810234,106.44279305810234
2007bi,45.46,99.01,-10797.849478304957,1224.5156347160291,814.2717848875767
2021ynn,45.55,71.54,-1207.2272669050537,814.2717848875767,10072.469336744789
2007bi,45.81,99.36,-6115.196345466189,814.2717848875767,1973.0784423494165
2015bn,45.81,132.52,-5791.916945081923,814.2717848875767,11209.167611364548
2019gqi,46.43,76.52,-6036.825581736671,814.2717848875767,814.2717848875767
PTF10vqv,46.45,76.49,-8897.358457864118,814.2717848875767,814.2717848875767
2021ynn,46.55,72.54,-1207.2272669050537,814.2717848875767,10072.469336744789
2019gqi,47.17,77.26,-11663.70742648236,805.2771659099741,975.7414175569263
2020wnt,47.69,119.28,-6625.882654640551,805.2771659099741,18796.991017552144
2013dg,47.71,74.61,-12663.431408443186,805.2771659099741,805.2771659099741
2018ibb,47.75,161.01,-4567.627397662379,1116.6339211827662,4147.694698737601
2019nhs,49.43,82.94,-9287.893949805199,739.3370319745927,739.3370319745927
2011ke,50.34,76.26,-10856.797723088008,739.3370319745927,739.3370319745927
PTF12dam,50.37,125.48,-8248.495200005336,739.3370319745927,739.3370319745927
PTF10nmn,51.69,113.43,-17496.780303677217,696.2471153146704,693.0801148381044
2015bn,52.09,138.8,-7508.695885147035,6635.5376606258515,10063.397043025978
2020wnt,52.16,123.75,-7900.769856433793,693.0801148381044,21840.7705918446
2022abdu,52.35,70.36,-12929.118538186476,698.0401461119553,693.0801148381044
2020wnt,52.85,124.44,-6469.699861237124,693.0801148381044,25859.096272793136
2020qlb,53.27,127.82,-1265.5528566472753,822.0976681933845,6709.802126445235
2020uew,54.54,80.41,-7710.711933607301,822.0976681933845,847.7880490128415
2021een,55.06,83.92,-1865.7719865773602,1068.569442946971,1068.569442946971
2021zcl,56.06,104.26,-5144.504924747825,1068.569442946971,1068.569442946971
2020rmv,56.06,114.14,-5858.9750873939265,1068.569442946971,1068.569442946971
2018ibb,56.28,169.54,-1484.068748999306,1068.569442946971,1068.569442946971
SSS120810,56.72,81.78,-4293.013087073704,3060.839860953199,32137.61410955082
2010gx,56.91,80.32,-1484.068748999306,1068.569442946971,1068.569442946971
2018lfe,57.37,86.63,-1943.882475849923,1096.169888703389,1096.169888703389
2018bsz,59.16,82.98,-13009.068571542937,887.3269083466363,887.3269083466363
2018bsz,59.19,83.01,-13989.147759780115,887.3269083466363,887.3269083466363
2021fpl,59.94,123.64,-8618.31380824038,7720.508340923931,887.3269083466363
2021uvy,65.14,120.25,-13440.092989806264,1277.210798615483,1308.1542050156013
2018ibb,66.49,179.75,-6952.820927843305,1729.210057829875,1277.210798615483
2020uew,66.74,92.61,-4584.917701606448,3332.816740251405,3176.3764613313706
2019ujb,68.03,106.01,-1344.8489205849392,876.967281889125,2362.937073538777
2019unb,68.28,126.64,-4754.419409457224,1374.1803424238028,20138.46745940475
iPTF15eov,68.71,90.81,-1188.0870590275927,868.027426700332,5280.868452584669
2018bsz,68.91,92.73,-7742.6923953941405,868.027426700332,868.027426700332
2018hti,69.89,125.05,-3101.9689324598394,931.534043822876,26955.915040576918
2018ibb,70.04,183.3,-5403.01504109516,931.534043822876,2313.472644057197
2021uvy,71.48,126.59,-7667.259227731227,2307.086840584897,1026.961386810624
2018hti,72.22,127.38,-5020.420386134387,1101.8846082961682,1551.3380321516004
2020myh,73.61,101.69,-9500.440203207558,1029.6842671421177,1028.2751042401055
2018bym,73.76,115.84,-6412.46155467791,5613.212065297374,1023.5964488019681
2019kwq,74.25,111.53,-4157.746985910231,1854.791009790591,9395.389810433626
2020uew,77.36,103.23,-3040.1928083471203,2289.159166593708,32775.83484352458
2009jh,77.5,135.16,-7931.943111890911,1023.5964488019681,1023.5964488019681
2018ibb,77.72,190.98,-5520.378833991567,1023.5964488019681,1023.5964488019681
iPTF16eh,77.81,124.0,-9392.606028179538,8620.403104843763,1023.5964488019681
2016ard,79.13,109.63,-1363.8615420024548,1038.1472390754598,1999.037190749587
2010md,79.18,119.8,-3853.8506744676306,1276.9689463726202,2979.5552839308084
iPTF16eh,79.95,126.14,-6559.508156988845,1023.5964488019681,1023.5964488019681
