# Wavelength Flux
# STATUS = PUBLIC
# OBJECT = OGLE15xl
# TELESCOPE = NTT
# INSTRUMENT = EFOSC2
# DATE-OBS = 2015-12-18 06:29:00.00
# MJD =
# EXPTIME = 1500
# SLIT =
# DISPERSER =
# SOURCE = 2015ATel.8437....1L
# FILTER =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED =
# PHOTOMETRY_CALIBRATED =
# FLUX_UNITS =
# QUALITY =
# MIN_WAVE =
# MAX_WAVE =
# COMMENT = Obtained from WISeREP
4965.35108948 5.64798e-17
4970.8690176 5.71514e-17
4976.38694572 5.44734e-17
4981.90487385 5.22015e-17
4987.42280197 5.09661e-17
4992.94073009 5.89626e-17
4998.45865822 5.53588e-17
5003.97658634 5.3204e-17
5009.49451447 5.43708e-17
5015.01244259 5.2802e-17
5020.53037071 5.79293e-17
5026.04829884 5.31039e-17
5031.56622696 5.40457e-17
5037.08415508 4.95485e-17
5042.60208321 5.36202e-17
5048.12001133 5.1538e-17
5053.63793945 5.22984e-17
5059.15586758 5.5366e-17
5064.6737957 5.73312e-17
5070.19172382 5.37143e-17
5075.70965195 6.03634e-17
5081.22758007 5.49331e-17
5086.74550819 5.00426e-17
5092.26343632 5.4664e-17
5097.78136444 5.41157e-17
5103.29929256 5.15056e-17
5108.81722069 5.19935e-17
5114.33514881 5.46075e-17
5119.85307693 5.40436e-17
5125.37100506 5.21916e-17
5130.88893318 5.40971e-17
5136.40686131 4.99686e-17
5141.92478943 5.11161e-17
5147.44271755 5.12788e-17
5152.96064568 5.13556e-17
5158.4785738 5.16959e-17
5163.99650192 4.45766e-17
5169.51443005 4.86908e-17
5175.03235817 5.20496e-17
5180.55028629 5.3136e-17
5186.06821442 4.67558e-17
5191.58614254 4.79369e-17
5197.10407066 4.83708e-17
5202.62199879 4.637e-17
5208.13992691 4.97499e-17
5213.65785503 4.93426e-17
5219.17578316 4.90976e-17
5224.69371128 4.69233e-17
5230.2116394 5.00754e-17
5235.72956753 4.89517e-17
5241.24749565 4.60578e-17
5246.76542377 4.86882e-17
5252.2833519 5.2252e-17
5257.80128002 4.95821e-17
5263.31920815 4.69094e-17
5268.83713627 4.93219e-17
5274.35506439 4.93925e-17
5279.87299252 4.87115e-17
5285.39092064 5.20334e-17
5290.90884876 5.11337e-17
5296.42677689 4.87979e-17
5301.94470501 5.00104e-17
5307.46263313 5.09374e-17
5312.98056126 5.05545e-17
5318.49848938 5.6852e-17
5324.0164175 5.11708e-17
5329.53434563 4.86153e-17
5335.05227375 5.35856e-17
5340.57020187 5.01615e-17
5346.08813 4.90278e-17
5351.60605812 5.29231e-17
5357.12398624 5.30798e-17
5362.64191437 4.59796e-17
5368.15984249 5.35738e-17
5373.67777061 5.59568e-17
5379.19569874 5.09131e-17
5384.71362686 5.09706e-17
5390.23155499 5.05305e-17
5395.74948311 5.7072e-17
5401.26741123 5.78526e-17
5406.78533936 5.37273e-17
5412.30326748 5.2794e-17
5417.8211956 5.13781e-17
5423.33912373 5.3299e-17
5428.85705185 5.59198e-17
5434.37497997 5.69879e-17
5439.8929081 5.56301e-17
5445.41083622 5.42882e-17
5450.92876434 5.54913e-17
5456.44669247 5.42985e-17
5461.96462059 5.58337e-17
5467.48254871 5.12138e-17
5473.00047684 5.31421e-17
5478.51840496 5.79271e-17
5484.03633308 5.5718e-17
5489.55426121 5.43664e-17
5495.07218933 4.90215e-17
5500.59011745 5.59434e-17
5506.10804558 5.90947e-17
5511.6259737 5.94434e-17
5517.14390182 6.1191e-17
5522.66182995 5.45955e-17
5528.17975807 5.41327e-17
5533.6976862 6.11243e-17
5539.21561432 5.89192e-17
5544.73354244 5.73422e-17
5550.25147057 5.96503e-17
5555.76939869 5.34076e-17
5561.28732681 5.63853e-17
5566.80525494 6.15585e-17
5572.32318306 5.14856e-17
5577.84111118 5.22155e-17
5583.35903931 5.98817e-17
5588.87696743 4.45122e-17
5594.39489555 5.3255e-17
5599.91282368 5.30108e-17
5605.4307518 5.40321e-17
5610.94867992 5.51603e-17
5616.46660805 5.05147e-17
5621.98453617 4.99674e-17
5627.50246429 5.30434e-17
5633.02039242 4.34705e-17
5638.53832054 5.04e-17
5644.05624866 4.67007e-17
5649.57417679 4.66962e-17
5655.09210491 5.04503e-17
5660.61003304 5.0158e-17
5666.12796116 5.13512e-17
5671.64588928 4.45662e-17
5677.16381741 4.56938e-17
5682.68174553 4.41428e-17
5688.19967365 4.78686e-17
5693.71760178 4.55679e-17
5699.2355299 4.83254e-17
5704.75345802 4.21315e-17
5710.27138615 4.30716e-17
5715.78931427 4.35307e-17
5721.30724239 4.65597e-17
5726.82517052 4.26075e-17
5732.34309864 5.09821e-17
5737.86102676 4.37738e-17
5743.37895489 4.49094e-17
5748.89688301 3.94911e-17
5754.41481113 4.40173e-17
5759.93273926 4.84817e-17
5765.45066738 4.32755e-17
5770.9685955 4.78743e-17
5776.48652363 4.02087e-17
5782.00445175 4.4297e-17
5787.52237988 3.90493e-17
5793.040308 4.69553e-17
5798.55823612 4.65934e-17
5804.07616425 4.46077e-17
5809.59409237 4.68971e-17
5815.11202049 4.68641e-17
5820.62994862 4.51647e-17
5826.14787674 5.23924e-17
5831.66580486 4.92336e-17
5837.18373299 4.56491e-17
5842.70166111 4.17782e-17
5848.21958923 4.08993e-17
5853.73751736 4.0545e-17
5859.25544548 4.31776e-17
5864.7733736 4.18224e-17
5870.29130173 4.68334e-17
5875.80922985 5.05884e-17
5881.32715797 4.7642e-17
5886.8450861 4.4218e-17
5892.36301422 4.54018e-17
5897.88094234 4.65946e-17
5903.39887047 4.57765e-17
5908.91679859 4.66866e-17
5914.43472672 4.52082e-17
5919.95265484 4.833e-17
5925.47058296 4.8398e-17
5930.98851109 4.47513e-17
5936.50643921 4.74259e-17
5942.02436733 4.96828e-17
5947.54229546 4.6502e-17
5953.06022358 4.72614e-17
5958.5781517 4.90932e-17
5964.09607983 4.55857e-17
5969.61400795 4.50406e-17
5975.13193607 4.62178e-17
5980.6498642 4.58555e-17
5986.16779232 4.66623e-17
5991.68572044 4.74643e-17
5997.20364857 5.05215e-17
6002.72157669 4.95799e-17
6008.23950481 4.14912e-17
6013.75743294 4.54223e-17
6019.27536106 4.30488e-17
6024.79328918 4.0562e-17
6030.31121731 4.38774e-17
6035.82914543 4.34552e-17
6041.34707355 4.69818e-17
6046.86500168 4.15757e-17
6052.3829298 4.0859e-17
6057.90085793 4.46413e-17
6063.41878605 4.40904e-17
6068.93671417 4.0523e-17
6074.4546423 4.05989e-17
6079.97257042 4.60733e-17
6085.49049854 4.04642e-17
6091.00842667 3.79737e-17
6096.52635479 4.61546e-17
6102.04428291 4.51112e-17
6107.56221104 4.56192e-17
6113.08013916 4.05224e-17
6118.59806728 4.23535e-17
6124.11599541 4.29009e-17
6129.63392353 4.15231e-17
6135.15185165 4.59631e-17
6140.66977978 4.00078e-17
6146.1877079 4.03819e-17
6151.70563602 4.47029e-17
6157.22356415 3.91119e-17
6162.74149227 3.92091e-17
6168.25942039 4.06759e-17
6173.77734852 4.31129e-17
6179.29527664 4.76551e-17
6184.81320477 4.49526e-17
6190.33113289 4.3152e-17
6195.84906101 4.43952e-17
6201.36698914 4.28955e-17
6206.88491726 4.31816e-17
6212.40284538 4.53783e-17
6217.92077351 4.24985e-17
