# Wavelength Flux Sigma
# STATUS = PUBLIC
# OBJECT = 
# TELESCOPE = 
# INSTRUMENT = 
# DATE-OBS = 
# MJD = 
# EXPTIME = 
# SLIT = 
# DISPERSER = 
# SOURCE = 
# FILTER = 
# FLUX_STANDARD = 
# EXTINCTION_CORRECTED = 
# PHOTOMETRY_CALIBRATED = 
# FLUX_UNITS = 
# QUALITY = 
# MIN_WAVE = 
# MAX_WAVE = 
# COMMENT = 
# GROUPS = UCSC,YSE
# SNID = 2022ljr_m1
# OBS_GROUP = UCSC
# RA = 235.76140416666664
# OBS_DATE = 2022-07-03-02:58:58.559
# DEC = 18.074805833333333
# INSTRUMENT = KAST
3.850963457052469039e+03 9.357948601245881515e-02 3.765834867954254844e-02
3.852954809049133473e+03 6.483464688063324266e-02 3.728068992494685402e-02
3.854946161045797908e+03 5.680193006992342170e-02 3.699989244341851669e-02
3.856937513042462342e+03 9.975207597015328664e-02 3.710218518970703067e-02
3.858928865039126777e+03 6.903132796288238837e-02 3.670488670467492859e-02
3.860920217035791211e+03 6.710691004991622965e-02 3.653983771799328151e-02
3.862911569032455645e+03 5.839603394270342918e-02 3.636283427475223151e-02
3.864902921029120080e+03 6.582178920506924491e-02 3.625769168136021292e-02
3.866894273025784514e+03 8.364956825970790155e-02 3.611381351946135743e-02
3.868885625022448949e+03 7.683817297220854603e-02 3.581620380279131738e-02
3.870876977019113383e+03 6.782440841198586479e-02 3.553841635582396380e-02
3.872868329015777817e+03 6.725686043500955780e-02 3.548704087730982643e-02
3.874859681012442252e+03 7.459423691033648107e-02 3.534937277433027741e-02
3.876851033009106686e+03 7.606177777051761901e-02 3.523394465442450385e-02
3.878842385005771121e+03 7.472980767488603127e-02 3.506404906508104463e-02
3.880833737002435555e+03 7.254346460104291183e-02 3.490237146611201158e-02
3.882825088999099989e+03 6.577507406473934171e-02 3.474722430106010757e-02
3.884816440995764424e+03 6.997197121381186491e-02 3.450393676753085725e-02
3.886807792992428858e+03 7.794059067963461651e-02 3.435178846116127005e-02
3.888799144989093293e+03 8.497507870196173430e-02 3.433664888138051458e-02
3.890790496985757727e+03 8.274200558662721250e-02 3.419900313015067361e-02
3.892781848982422161e+03 7.516980916263059365e-02 3.388379514211187910e-02
3.894773200979086596e+03 6.641361862422436035e-02 3.369776532048561479e-02
3.896764552975751030e+03 5.712485313417225985e-02 3.350478783243734937e-02
3.898755904972415465e+03 8.865240961307488399e-02 3.356512263411112057e-02
3.900747256969079899e+03 1.106774955987528258e-01 3.361505642527162080e-02
3.902738608965744334e+03 7.406872510916723273e-02 3.336267173284158255e-02
3.904729960962408768e+03 7.562211155891097880e-02 3.321579098694649873e-02
3.906721312959073202e+03 8.751790970561718064e-02 3.309061378234540857e-02
3.908712664955737637e+03 5.059407651432841491e-02 3.278353810302878091e-02
3.910704016952402071e+03 8.416937291614497163e-02 3.285167366258750360e-02
3.912695368949066506e+03 8.898338675497863282e-02 3.274687379591140202e-02
3.914686720945730940e+03 8.204937726260816411e-02 3.265875950448208359e-02
3.916678072942395374e+03 9.297125041482087737e-02 3.254335373631885020e-02
3.918669424939059809e+03 8.365333080293875512e-02 3.227154910557053502e-02
3.920660776935724243e+03 4.984973743567192028e-02 3.191941231480434349e-02
3.922652128932388678e+03 5.630531162021775587e-02 3.180842101565227453e-02
3.924643480929053112e+03 7.697655260557230428e-02 3.178368136278025141e-02
3.926634832925717546e+03 7.189565896989308369e-02 3.156955167642526427e-02
3.928626184922381981e+03 7.373629510402134046e-02 3.147267177691653872e-02
3.930617536919046415e+03 7.683197408913719495e-02 3.134561702600473926e-02
3.932608888915710850e+03 8.020697534083241764e-02 3.118788450946374455e-02
3.934600240912375284e+03 6.918874382976243631e-02 3.106114082028473000e-02
3.936591592909039719e+03 7.217065989970207485e-02 3.094557113935590686e-02
3.938582944905704153e+03 7.261807471513608003e-02 3.084099106480753250e-02
3.940574296902368587e+03 7.382494211196516387e-02 3.079474903633286700e-02
3.942565648899033022e+03 7.367095351219228594e-02 3.072348237027837034e-02
3.944557000895697456e+03 5.436144024140739800e-02 3.053268790233901533e-02
3.946548352892361891e+03 7.483283430330894825e-02 3.054627031077412555e-02
3.948539704889026325e+03 9.303904324763324907e-02 3.052459843445593304e-02
3.950531056885690759e+03 8.356650918725397337e-02 3.038951754559598289e-02
3.952522408882355194e+03 7.817079871894902499e-02 3.027800284315014870e-02
3.954513760879019628e+03 8.687278628346124798e-02 3.011242859054530027e-02
3.956505112875684063e+03 9.766803681845999396e-02 3.009658493089227213e-02
3.958496464872348497e+03 9.307017922403214294e-02 2.999112009990493807e-02
3.960487816869012931e+03 8.392696827653832459e-02 2.976592443871184726e-02
3.962479168865677366e+03 7.808642089369181860e-02 2.965283393848352350e-02
3.964470520862341800e+03 8.077793568371624544e-02 2.948848158108988843e-02
3.966461872859006235e+03 6.076970323928475998e-02 2.920690737652694574e-02
3.968453224855670669e+03 6.429000198839490698e-02 2.918568067239307381e-02
3.970444576852335103e+03 7.421545684333309689e-02 2.911247313009981963e-02
3.972435928848999538e+03 6.377146393065458163e-02 2.896683290587548365e-02
3.974427280845663972e+03 8.517713844766867937e-02 2.906163409339693887e-02
3.976418632842328407e+03 9.977503120892537714e-02 2.901817113147835137e-02
3.978409984838992841e+03 9.647808223964290941e-02 2.887432090924904604e-02
3.980401336835657276e+03 8.954229205850272599e-02 2.881627157316036386e-02
3.982392688832321710e+03 9.836109727617049769e-02 2.875955775366999603e-02
3.984384040828986144e+03 7.835182547579329360e-02 2.859493531272351216e-02
3.986375392825650579e+03 7.711395621300311254e-02 2.844420634197120101e-02
3.988366744822315013e+03 8.974160999053333587e-02 2.838037721798467028e-02
3.990358096818979448e+03 7.743741571909412702e-02 2.830942906425083089e-02
3.992349448815643882e+03 6.136752292522289209e-02 2.812009677276147354e-02
3.994340800812308316e+03 7.060460001225603299e-02 2.809377387151910238e-02
3.996332152808972751e+03 7.815257459874784540e-02 2.802937291547195203e-02
3.998323504805637185e+03 7.882168143987323961e-02 2.792448922977724957e-02
4.000314856802301620e+03 7.704216986895584540e-02 2.783087268456465452e-02
4.002306208798966054e+03 8.615820854897271452e-02 2.788432687505698962e-02
4.004297560795630488e+03 8.552125096321468167e-02 2.780396118744235187e-02
4.006288912792294923e+03 8.227862417699685627e-02 2.766506001338102372e-02
4.008280264788959357e+03 9.812133759250772636e-02 2.767639979703684014e-02
4.010271616785623792e+03 9.153536707166469444e-02 2.760576829299103002e-02
4.012262968782288226e+03 6.644064188018440620e-02 2.744662575407421160e-02
4.014254320778952660e+03 9.063918143496456359e-02 2.742892503722119124e-02
4.016245672775617095e+03 7.125362008821997661e-02 2.716570161266267450e-02
4.018237024772281529e+03 5.700210109361529554e-02 2.700145170076552123e-02
4.020228376768945964e+03 7.918718457207801764e-02 2.704584412259452078e-02
4.022219728765610398e+03 8.440578728911161954e-02 2.707464620454926030e-02
4.024211080762274833e+03 6.730112433444469799e-02 2.686517313105571750e-02
4.026202432758939267e+03 6.550966948271903789e-02 2.677749283595264734e-02
4.028193784755603701e+03 8.080467581738834393e-02 2.672847919148387680e-02
4.030185136752268136e+03 8.397750556466936078e-02 2.672722563130455406e-02
4.032176488748932570e+03 7.885760068896942310e-02 2.660712972265135562e-02
4.034167840745597005e+03 8.146949112413642835e-02 2.647928521020170498e-02
4.036159192742261439e+03 9.151489287607943168e-02 2.649330347758263940e-02
4.038150544738925873e+03 8.592412620786556154e-02 2.645014412683614063e-02
4.040141896735590308e+03 8.837237954138034424e-02 2.639179863017599575e-02
4.042133248732254742e+03 8.559925109149926770e-02 2.623600512725023093e-02
4.044124600728919177e+03 7.006943225871947734e-02 2.616613358240081275e-02
4.046115952725583611e+03 1.107545271513059038e-01 2.644817531090737014e-02
4.048107304722248045e+03 9.405598044407653679e-02 2.619806118290354466e-02
4.050098656718912480e+03 9.073910862209762229e-02 2.609243057649738434e-02
4.052090008715576914e+03 1.071392074226134999e-01 2.617613784949725589e-02
4.054081360712241349e+03 6.886524707106904397e-02 2.581909112613407775e-02
4.056072712708905783e+03 7.809910178177342788e-02 2.575648203472167067e-02
4.058064064705570217e+03 8.265245705839645296e-02 2.576222456972847297e-02
4.060055416702234652e+03 7.284301519401539804e-02 2.564768493155593701e-02
4.062046768698899086e+03 7.191535830498442528e-02 2.552531845848398859e-02
4.064038120695563521e+03 9.111632406696670849e-02 2.566194348017318896e-02
4.066029472692227955e+03 9.363714605567881322e-02 2.554830722490978104e-02
4.068020824688892390e+03 7.822532951844136939e-02 2.539060823599072550e-02
4.070012176685556824e+03 7.172400504355710971e-02 2.532182075063595453e-02
4.072003528682221258e+03 7.798280566925627766e-02 2.525748312452533520e-02
4.073994880678885693e+03 8.479841053480580149e-02 2.517471648733143191e-02
4.075986232675550127e+03 1.027266234157995783e-01 2.525573410073021427e-02
4.077977584672214562e+03 1.011279225349558109e-01 2.525904774645067533e-02
4.079968936668878996e+03 8.518510311855437278e-02 2.508579567053580497e-02
4.081960288665543430e+03 9.289415180676800776e-02 2.501146681586208231e-02
4.083951640662207865e+03 9.947402775282071508e-02 2.498987317064151753e-02
4.085942992658872299e+03 9.478744119409601709e-02 2.488604187944934779e-02
4.087934344655536734e+03 9.170187264683540840e-02 2.482749894239815597e-02
4.089925696652201168e+03 8.940287679435821033e-02 2.480863779761721677e-02
4.091917048648865602e+03 1.124597936866667119e-01 2.484754659213915876e-02
4.093908400645530037e+03 9.860769659292800693e-02 2.468659915008580841e-02
4.095899752642194471e+03 9.268919378524465014e-02 2.460635639704639166e-02
4.097891104638858451e+03 1.072110608218707906e-01 2.459353953576342428e-02
4.099882456635523340e+03 9.315434098256553108e-02 2.445453405357911336e-02
4.101873808632188229e+03 9.991220384830021284e-02 2.443042770005797795e-02
4.103865160628852209e+03 1.137765198944732797e-01 2.447986043967297423e-02
4.105856512625516189e+03 1.168282255530050523e-01 2.450769767140558233e-02
4.107847864622181078e+03 8.392305672200291167e-02 2.417858131206686648e-02
4.109839216618845967e+03 8.774381875988156165e-02 2.415281161642751293e-02
4.111830568615509947e+03 1.003721356390752939e-01 2.417400106765599244e-02
4.113821920612173926e+03 1.131726503370905912e-01 2.434660866832110901e-02
4.115813272608838815e+03 8.962941914820483913e-02 2.405023761069450400e-02
4.117804624605503705e+03 9.680598974221020503e-02 2.397584170080076932e-02
4.119795976602167684e+03 7.355868071339970171e-02 2.379445917881555309e-02
4.121787328598831664e+03 7.608921080825056804e-02 2.390514686678571130e-02
4.123778680595496553e+03 1.005310863253998238e-01 2.401867322599595192e-02
4.125770032592161442e+03 8.206192404050310918e-02 2.381270751333151511e-02
4.127761384588825422e+03 9.403538703906426377e-02 2.376583963608704109e-02
4.129752736585489401e+03 1.099721863864105142e-01 2.380711585257182933e-02
4.131744088582154291e+03 9.532379359022266629e-02 2.371253631984119453e-02
4.133735440578819180e+03 1.042171716689169747e-01 2.378920465683874788e-02
4.135726792575483159e+03 9.856840223079632590e-02 2.369931712722806588e-02
4.137718144572147139e+03 8.519538491978999317e-02 2.348745241735462203e-02
4.139709496568812028e+03 9.602155536401321689e-02 2.352691255484063923e-02
4.141700848565476917e+03 9.623643010854492086e-02 2.352969907199460239e-02
4.143692200562140897e+03 9.468250721694668193e-02 2.343683317279037989e-02
