 log(Bfield)      Mns     Pspin  cutoff_power  cutoff_wavelength  fnickel    kappa  kappagamma  mejecta  log(nhhost)  temperature  texplosion  thetaPB     vejecta      A_V        MJD_0   log(KE)      M_Ni  Peak_mag     Peak_MJD 
    14.07512   2.0259   8.59704       4.81778         2413.74631  0.00328  0.01218     0.01083  4.82347     20.13141   8690.35266    -9.44647  1.49536  5450.17617  0.07519  57345.77353  51.99784   0.18446  21.95964  57377.68195 
    14.40745  1.41225   6.74149       0.13726         2819.24612  0.00171  0.02888     0.03222  3.72752     17.14012   7024.88001    -15.9726  0.48619  5152.83129    8e-05   57339.2474  51.91928   0.08965  21.94983  57377.68195 
    14.30627  1.35252   6.94561       2.77276         2294.09971  0.02709  0.01485     0.01655  3.89465      18.6465   7634.28449    -8.74383  0.38934  6812.09945  0.00246  57346.47617  52.16698   1.43766  21.93104  57377.68195 
    14.89385  1.87492   9.24282       2.96761         2578.04275  0.00171  0.04165     0.04478  2.30267     18.19622   6864.09467   -11.90818  0.20285  5228.77884  0.00087  57343.31182  51.87008   0.07789  21.93695  57380.32065 
    14.33499  1.19977   6.72281        1.2201         2387.50212  0.05366  0.02783     0.24188  3.70396      17.9377   7454.04209   -10.68062   0.5512  5557.82962  0.00048  57344.53938  51.98424   2.80825  21.96891  57377.68195 
    14.23224  2.10275  10.82359       3.37744         2043.01458  0.22385  0.02628     0.39794  3.13169     18.48317   6450.79422    -8.70913  1.36392  7253.85688  0.00169  57346.51087  52.19495  11.17202  21.95274  57377.68195 
    14.13116  1.65836   9.61238       4.71964         2083.12128  0.33158  0.02734     0.12849  3.00617      19.0894   9702.21176    -8.68909  1.24581  6722.84466  0.00683  57346.53091  52.12374  16.35292  21.94929  57380.32065 
    14.50432  1.93138   8.82068       0.61673         2665.44102  0.00108  0.01573     0.06799  4.88317     17.99622   5508.90549   -12.16607  0.48025  6266.18314  0.00055  57343.05393   52.1204   0.06057  21.94571  57377.68195 
     14.1874  1.93797    9.4181       3.71386         2150.91257  0.08372  0.02808     0.04739   2.6435     18.74733   8777.84941   -10.03305  1.19352  6681.87111   0.0031  57345.18695  52.10174   3.97344  21.96726  57380.32065 
     14.1387  1.74352   8.28028       0.98372         2337.46064  0.01909  0.01744     0.49214  3.54656     19.03204   6022.10941   -10.49243  1.32263  6193.33065  0.00598  57344.72757  52.07304   0.98694  21.94108  57377.68195 
