 log(Bfield)      Mns     Pspin  cutoff_power  cutoff_wavelength  fnickel    kappa  kappagamma   mejecta  log(nhhost)  temperature  texplosion  thetaPB      vejecta      A_V        MJD_0   log(KE)      M_Ni  Peak_mag     Peak_MJD 
    14.43576  1.40949   1.60096       2.49474         3161.67417  0.11747  0.03402     0.05746  16.44428      17.5937   3511.37506    -3.63181  1.34229   9177.06816  0.00022  58857.86819  52.56964   8.68023  19.21052     58881.54 
    14.73164  1.95195   3.27393       4.50143          3120.8038  0.06209  0.03415     0.01121  18.29775     16.90411   7179.14218     -5.4136   0.6611   8080.68494    4e-05   58856.0864  52.46811   4.68425  19.27368  58882.88474 
    14.45163  1.84475   4.16574       3.86367          2984.3372  0.06904  0.03025     0.28816  13.69601     19.97405   5252.10693    -5.56388  1.02087   8248.19538  0.05233  58855.93612  52.46112   4.91918  19.26835  58881.58133 
    14.48757   2.0354   5.39514       4.77729         3127.01276  0.07247  0.03106     0.24833  10.97024     18.98053   8438.92178   -11.04675  0.79061   6514.94435  0.00531  58850.45325  52.23621   4.93087  19.18949      58884.5 
    14.63051  1.73963   3.47354       4.51033         2478.13552  0.01641  0.03446     0.01754    14.805     17.06019   8243.57317    -5.57449   0.5239   9230.84863    6e-05  58855.92551   52.5657   1.18775   19.2401  58883.62347 
    14.66852  1.34591   1.95834       2.13346         3421.48648  0.00808   0.0447     0.01004   13.2572     18.19296   9864.82323    -5.28973  0.41547   7942.99789  0.00087  58856.21027  52.42549   0.57192  19.21157  58885.89167 
      14.288  1.49649   2.10088       0.89298         3710.27945  0.06148  0.02858     0.22579  11.27681      17.5061   4356.33481    -6.23933  1.22722   6434.48708  0.00018  58855.26067  52.22795   4.20756  19.24941     58883.54 
    14.26242  1.71005    4.5877       2.80214         2939.46113  0.24448  0.05858     0.27642   5.21397     18.13112   3516.45093    -6.68713  1.56683   8208.29573  0.00075  58854.81287  52.36215   14.0044  19.27072      58884.5 
    14.36144  1.82342   4.65099       3.46665         3330.70689  0.01201  0.01596     0.32699  24.70778     16.01313   6448.73752    -7.49311  1.09576   7521.27811    1e-05  58854.00689  52.43011   0.95791  19.25257  58883.62347 
    14.70894  1.63687   4.50531       3.46065         3285.59157  0.10209   0.0319     0.32589  13.69456     18.75063   4298.88954    -5.90737  0.40076   9113.67662  0.00313  58855.59263  52.54778   7.27377  19.22238  58882.88474 
    14.60618  1.87533   3.54361       2.84078         2985.01359  0.28885  0.03583     0.01422  12.06052     18.06163   4049.83984    -4.68978  1.09687   8513.30002  0.00064  58856.81022  52.47724  20.04913   19.2568  58885.50833 
    14.74179   1.9107   2.83295       2.68045         3146.65944  0.02456  0.04054     0.28551  15.22912     16.83649    7120.4471    -6.50196  0.59077   8322.94382    4e-05  58854.99804  52.47821   1.78784  19.22705  58883.62347 
    14.47652    1.733   2.30846       4.94189         2447.25035  0.04485  0.03506     0.34421  16.23388     17.57617   6469.22176    -3.38762  1.29794   8974.98709  0.00021  58858.11238   52.5492   3.30561  19.24311      58884.5 
    14.61694  1.66622   3.16619       1.03728         2619.41552  0.15438  0.03653     0.03692  10.95124     17.97712   7603.79076    -5.19728  0.55182  10373.91794  0.00053  58856.30272  52.64011  10.49986  19.22936      58884.5 
