                MJD               R_low               R_med              R_high               T_low               T_med              T_high                   L_low                   L_med                  L_high 
       57821.484375                 0.0                 0.0                 0.0                 nan                 nan                 nan  4.7606910224561785e+30   6.286646207581936e+30  1.0553891937187168e+31 
  57824.54639998246                 0.0                 0.0                 0.0                 nan                 nan                 nan  4.7606910224561785e+30   6.286646207581936e+30  1.0553891937187168e+31 
 57827.608424964914                 0.0                 0.0                 0.0                 nan                 nan                 nan  4.7606910224561785e+30   6.286646207581936e+30  1.0553891937187168e+31 
  57830.67044994737                 0.0                 0.0                 0.0                 nan                 nan                 nan  4.7606910224561785e+30   6.286646207581936e+30  1.0553891937187168e+31 
  57833.73247492983                 0.0                 0.0                 0.0                 nan                 nan                 nan  4.7606910224561785e+30   6.286646207581936e+30  1.0553891937187168e+31 
  57836.79449991228                 0.0                 0.0                 0.0                 nan                 nan                 nan  4.7606910224561785e+30   6.286646207581936e+30  1.0553891937187168e+31 
 57839.856524894734                 0.0                 0.0                 0.0                 nan                 nan                 nan  4.7606910224561785e+30   6.286646207581936e+30  1.0553891937187168e+31 
  57842.91854987719                 0.0                 0.0                 0.0                 nan                 nan                 nan  4.7606910224561785e+30   6.286646207581936e+30  1.0553891937187168e+31 
  57845.98057485965                 0.0                 0.0                 0.0                 nan                 nan                 nan  4.7606910224561785e+30   6.286646207581936e+30  1.0553891937187168e+31 
 57849.042599842105                 0.0                 0.0                 0.0                 nan                 nan                 nan  4.7606910224561785e+30   6.286646207581936e+30  1.0553891937187168e+31 
  57852.10462482456                 0.0                 0.0                 0.0                 nan                 nan                 nan  4.7606910224561785e+30   6.286646207581936e+30  1.0553891937187168e+31 
  57855.16664980702                 0.0                 0.0                 0.0                 nan                 nan                 nan  4.7606910224561785e+30   6.286646207581936e+30  1.0553891937187168e+31 
 57858.228674789476                 0.0                 0.0                 0.0                 nan                 nan                 nan  4.7606910224561785e+30   6.286646207581936e+30  1.0553891937187168e+31 
  57861.29069977193                 0.0                 0.0                 0.0                 nan                 nan                 nan  4.7606910224561785e+30   6.286646207581936e+30  1.0553891937187168e+31 
  57864.35272475438                 0.0                 0.0                 0.0                 nan                 nan                 nan  4.7606910224561785e+30   6.286646207581936e+30  1.0553891937187168e+31 
  57867.41474973684                 0.0                 0.0                 0.0                 nan                 nan                 nan  4.7606910224561785e+30   6.286646207581936e+30  1.0553891937187168e+31 
   57870.4767747193                 0.0                 0.0                 0.0                 nan                 nan                 nan  4.7606910224561785e+30   6.286646207581936e+30  1.0553891937187168e+31 
  57873.53879970175                 0.0                 0.0                 0.0                 nan                 nan                 nan  4.7606910224561785e+30   6.286646207581936e+30  1.0553891937187168e+31 
  57876.60082468421                 0.0                 0.0                 0.0                 nan                 nan                 nan  4.7606910224561785e+30   6.286646207581936e+30  1.0553891937187168e+31 
  57879.66284966667                 0.0                 0.0                 0.0                 nan                 nan                 nan  4.7606910224561785e+30   6.286646207581936e+30  1.0553891937187168e+31 
 57882.724874649124                 0.0                 0.0                 0.0                 nan                 nan                 nan  4.7606910224561785e+30   6.286646207581936e+30  1.0553891937187168e+31 
  57885.78689963158                 0.0                 0.0                 0.0                 nan                 nan                 nan  4.7606910224561785e+30   6.286646207581936e+30  1.0553891937187168e+31 
  57888.84892461404                 0.0                 0.0                 0.0                 nan                 nan                 nan  4.7606910224561785e+30   6.286646207581936e+30  1.0553891937187168e+31 
 57891.910949596495                 0.0                 0.0                 0.0                 nan                 nan                 nan  4.7606910224561785e+30   6.286646207581936e+30  1.0553891937187168e+31 
 57894.972974578945                 0.0                 0.0                 0.0                 nan                 nan                 nan  4.7606910224561785e+30   6.286646207581936e+30  1.0553891937187168e+31 
   57898.0349995614                 0.0                 0.0                 0.0                 nan                 nan                 nan  4.7606910224561785e+30   6.286646207581936e+30  1.0553891937187168e+31 
  57901.09702454386                 0.0                 0.0                 0.0                 nan                 nan                 nan  4.7606910224561785e+30   6.286646207581936e+30  1.0553891937187168e+31 
 57904.159049526315                 0.0                 0.0                 0.0                 nan                 nan                 nan  4.7606910224561785e+30   6.286646207581936e+30  1.0553891937187168e+31 
  57907.22107450877                 0.0                 0.0                 0.0                 nan                 nan                 nan  4.7606910224561785e+30   6.286646207581936e+30  1.0553891937187168e+31 
  57910.28309949123                 0.0                 0.0                 0.0                 nan                 nan                 nan  4.7606910224561785e+30   6.286646207581936e+30  1.0553891937187168e+31 
 57913.345124473686                 0.0                 0.0                 0.0                 nan                 nan                 nan  4.7606910224561785e+30   6.286646207581936e+30  1.0553891937187168e+31 
  57916.40714945614                 0.0                 0.0                 0.0                 nan                 nan                 nan  4.7606910224561785e+30   6.286646207581936e+30  1.0553891937187168e+31 
   57919.4691744386                 0.0                 0.0                 0.0                 nan                 nan                 nan  4.7606910224561785e+30   6.286646207581936e+30  1.0553891937187168e+31 
  57922.53119942105                 0.0                 0.0                 0.0                 nan                 nan                 nan  4.7606910224561785e+30   6.286646207581936e+30  1.0553891937187168e+31 
  57925.59322440351                 0.0                 0.0                 0.0                 nan                 nan                 nan  4.7606910224561785e+30   6.286646207581936e+30  1.0553891937187168e+31 
  57928.65524938596                 0.0                 0.0                 0.0                 nan                 nan                 nan  4.7606910224561785e+30   6.286646207581936e+30  1.0553891937187168e+31 
  57931.71727436842                 0.0                 0.0                 0.0                 nan                 nan                 nan  4.7606910224561785e+30   6.286646207581936e+30  1.0553891937187168e+31 
  57934.77929935088                 0.0                 0.0                 0.0                 nan                 nan                 nan  4.7606910224561785e+30   6.286646207581936e+30  1.0553891937187168e+31 
 57937.841324333334                 0.0                 0.0                 0.0                 nan                 nan                 nan  4.7606910224561785e+30   6.286646207581936e+30  1.0553891937187168e+31 
  57940.90334931579                 0.0                 0.0                 0.0                 nan                 nan                 nan  4.7606910224561785e+30   6.286646207581936e+30  1.0553891937187168e+31 
  57943.96537429825                 0.0                 0.0                 0.0                 nan                 nan                 nan  4.7606910224561785e+30   6.286646207581936e+30  1.0553891937187168e+31 
 57947.027399280705                 0.0                 0.0                 0.0                 nan                 nan                 nan  4.7606910224561785e+30   6.286646207581936e+30  1.0553891937187168e+31 
 57950.089424263155                 0.0                 0.0                 0.0                 nan                 nan                 nan  4.7606910224561785e+30   6.286646207581936e+30  1.0553891937187168e+31 
  57953.15144924561                 0.0                 0.0                 0.0                 nan                 nan                 nan  4.7606910224561785e+30   6.286646207581936e+30  1.0553891937187168e+31 
  57956.21347422807                 0.0                 0.0                 0.0                 nan                 nan                 nan  4.7606910224561785e+30   6.286646207581936e+30  1.0553891937187168e+31 
 57959.275499210526                 0.0                 0.0                 0.0                 nan                 nan                 nan  4.7606910224561785e+30   6.286646207581936e+30  1.0553891937187168e+31 
  57962.33752419298                 0.0                 0.0                 0.0                 nan                 nan                 nan  4.7606910224561785e+30   6.286646207581936e+30  1.0553891937187168e+31 
  57965.39954917544                 0.0                 0.0                 0.0                 nan                 nan                 nan  4.7606910224561785e+30   6.286646207581936e+30  1.0553891937187168e+31 
   57968.4615741579                 0.0                 0.0                 0.0                 nan                 nan                 nan  4.7606910224561785e+30   6.286646207581936e+30  1.0553891937187168e+31 
  57971.52359914035                 0.0                 0.0                 0.0                 nan                 nan                 nan  4.7606910224561785e+30   6.286646207581936e+30  1.0553891937187168e+31 
  57974.58562412281                 0.0                 0.0                 0.0                 nan                 nan                 nan  4.7606910224561785e+30   6.286646207581936e+30  1.0553891937187168e+31 
  57977.64764910527                 0.0                 0.0                 0.0                 nan                 nan                 nan  4.7606910224561785e+30   6.286646207581936e+30  1.0553891937187168e+31 
  57980.70967408772                 0.0                 0.0                 0.0                 nan                 nan                 nan  4.7606910224561785e+30   6.286646207581936e+30  1.0553891937187168e+31 
 57983.771699070174                 0.0                 0.0                 0.0                 nan                 nan                 nan  4.7606910224561785e+30   6.286646207581936e+30  1.0553891937187168e+31 
  57986.83372405263                 0.0                 0.0                 0.0                 nan                 nan                 nan  4.7606910224561785e+30   6.286646207581936e+30  1.0553891937187168e+31 
  57989.89574903509                 0.0                 0.0                 0.0                 nan                 nan                 nan  4.7606910224561785e+30   6.286646207581936e+30  1.0553891937187168e+31 
 57992.957774017545                 0.0                 0.0                 0.0                 nan                 nan                 nan  4.7606910224561785e+30   6.286646207581936e+30  1.0553891937187168e+31 
       57996.019799                 0.0                 0.0                 0.0                 nan                 nan                 nan  4.7606910224561785e+30   6.286646207581936e+30  1.0553891937187168e+31 
  57999.08182398246                 0.0                 0.0                 0.0                 nan                 nan                 nan  4.7606910224561785e+30   6.286646207581936e+30  1.0553891937187168e+31 
 58002.143848964915                 0.0                 0.0                 0.0                 nan                 nan                 nan  4.7606910224561785e+30   6.286646207581936e+30  1.0553891937187168e+31 
  58005.20587394737                 0.0                 0.0                 0.0                 nan                 nan                 nan  4.7606910224561785e+30   6.286646207581936e+30  1.0553891937187168e+31 
  58008.26789892982                 0.0                 0.0                 0.0                 nan                 nan                 nan  4.7606910224561785e+30   6.286646207581936e+30  1.0553891937187168e+31 
  58011.32992391228                 0.0                 0.0                 0.0                 nan                 nan                 nan  4.7606910224561785e+30   6.286646207581936e+30  1.0553891937187168e+31 
 58014.391948894736                 0.0                 0.0                 0.0                 nan                 nan                 nan  4.7606910224561785e+30   6.286646207581936e+30  1.0553891937187168e+31 
  58017.45397387719                 0.0                 0.0                 0.0                 nan                 nan                 nan  4.7606910224561785e+30   6.286646207581936e+30  1.0553891937187168e+31 
  58020.51599885965                 0.0                 0.0                 0.0                 nan                 nan                 nan  4.7606910224561785e+30   6.286646207581936e+30  1.0553891937187168e+31 
  58023.57802384211                 0.0                 0.0                 0.0                 nan                 nan                 nan  4.7606910224561785e+30   6.286646207581936e+30  1.0553891937187168e+31 
  58026.64004882456                 0.0                 0.0                 0.0                 nan                 nan                 nan  4.7606910224561785e+30   6.286646207581936e+30  1.0553891937187168e+31 
  58029.70207380702                 0.0                 0.0                 0.0                 nan                 nan                 nan  4.7606910224561785e+30   6.286646207581936e+30  1.0553891937187168e+31 
  58032.76409878948                 0.0                 0.0                 0.0                 nan                 nan                 nan  4.7606910224561785e+30   6.286646207581936e+30  1.0553891937187168e+31 
  58035.82612377193                 0.0                 0.0                 0.0                 nan                 nan                 nan  4.7606910224561785e+30   6.286646207581936e+30  1.0553891937187168e+31 
