          MJD      Mag      Raw  MagErr  Telescope  Instrument  Filter     UL  System  Ignore               Source 
     58616.25    19.75      nan    0.14        P48         ZTF       g  False      AB   False  2023ApJ...943...41C 
      58616.3    19.85      nan    0.13        P48         ZTF       r  False      AB   False  2023ApJ...943...41C 
     58616.33    19.85      nan    0.16        P48         ZTF       i  False      AB   False  2023ApJ...943...41C 
 58617.414348  19.4738  19.5049    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
     58619.27    19.63      nan    0.24        P48         ZTF       g  False      AB   False  2023ApJ...943...41C 
     58619.32    19.76      nan    -1.0        P48         ZTF       r   True      AB    True  2023ApJ...943...41C 
 58623.373922  19.0609  19.0919    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 58627.531744  19.9059   19.937  0.3517      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
     58628.33    19.75      nan    0.09        P48         ZTF       r  False      AB   False  2023ApJ...943...41C 
  58629.39084  19.8872  19.9183  0.2267      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
 58631.311134  19.8977  19.9287  0.3019      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
     58633.26    19.72      nan    0.06        P48         ZTF       g  False      AB   False  2023ApJ...943...41C 
      58633.3    19.68      nan    0.08        P48         ZTF       r  False      AB   False  2023ApJ...943...41C 
      58633.3    19.72      nan    0.16        P48         ZTF       r  False      AB   False  2023ApJ...943...41C 
 58633.389424  19.8968  19.9278  0.3102      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
      58634.3    19.67      nan    0.07        P48         ZTF       r  False      AB   False  2023ApJ...943...41C 
     58635.18    19.63      nan    0.13        P48         ZTF       i  False      AB   False  2023ApJ...943...41C 
 58635.384399  19.7411  19.7835  0.1613      ATLAS       ATLAS    cyan  False      AB   False  2018PASP..130f4505T 
     58636.21    19.58      nan    0.07        P48         ZTF       r  False      AB   False  2023ApJ...943...41C 
     58636.28    19.68      nan    0.06        P48         ZTF       g  False      AB   False  2023ApJ...943...41C 
     58638.25    19.59      nan    0.07        P48         ZTF       r  False      AB   False  2023ApJ...943...41C 
     58639.21    19.69      nan    0.12        P48         ZTF       i  False      AB   False  2023ApJ...943...41C 
     58639.28    19.66      nan    0.07        P48         ZTF       r  False      AB   False  2023ApJ...943...41C 
  58639.34056  19.6816  19.7241  0.1717      ATLAS       ATLAS    cyan  False      AB   False  2018PASP..130f4505T 
 58641.322065  19.6918  19.7229  0.2569      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
     58642.18    19.84      nan     0.1        P48         ZTF       g  False      AB   False  2023ApJ...943...41C 
     58642.26    19.69      nan    0.07        P48         ZTF       r  False      AB   False  2023ApJ...943...41C 
      58642.3    19.87      nan    0.06        P48         ZTF       g  False      AB   False  2023ApJ...943...41C 
     58643.21    19.85      nan    0.18        P48         ZTF       i  False      AB   False  2023ApJ...943...41C 
 58643.384102   19.937  19.9681  0.3201      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
     58645.23    19.72      nan    0.13        P48         ZTF       g  False      AB   False  2023ApJ...943...41C 
     58645.28     19.8      nan    0.14        P48         ZTF       r  False      AB   False  2023ApJ...943...41C 
 58645.297836  19.2119  19.2429    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 58647.343976  19.0806  19.1117    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
     58648.21    19.67      nan    0.21        P48         ZTF       r  False      AB   False  2023ApJ...943...41C 
     58648.28    20.17      nan    -1.0        P48         ZTF       i   True      AB    True  2023ApJ...943...41C 
     58648.32    20.24      nan    -1.0        P48         ZTF       g   True      AB    True  2023ApJ...943...41C 
 58649.416124  19.3973  19.4284    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
     58651.19    20.27      nan    -1.0        P48         ZTF       g   True      AB    True  2023ApJ...943...41C 
     58651.25    19.81      nan    0.19        P48         ZTF       r  False      AB   False  2023ApJ...943...41C 
     58654.19    19.88      nan    0.08        P48         ZTF       r  False      AB   False  2023ApJ...943...41C 
     58654.24    20.38      nan    0.19        P48         ZTF       g  False      AB   False  2023ApJ...943...41C 
  58655.38522   19.066   19.097    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
     58657.26    19.98      nan    0.11        P48         ZTF       r  False      AB   False  2023ApJ...943...41C 
     58659.17    20.03      nan    0.22        P48         ZTF       i  False      AB   False  2023ApJ...943...41C 
 58659.340624   20.047  20.0781  0.3408      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
     58660.19    20.36      nan    0.11        P48         ZTF       g  False      AB   False  2023ApJ...943...41C 
     58660.22    20.02      nan    0.09        P48         ZTF       r  False      AB   False  2023ApJ...943...41C 
     58660.22    20.05      nan    0.21        P48         ZTF       r  False      AB   False  2023ApJ...943...41C 
     58663.18    20.15      nan    -1.0        P48         ZTF       i   True      AB    True  2023ApJ...943...41C 
     58663.19    20.17      nan    0.17        P48         ZTF       r  False      AB   False  2023ApJ...943...41C 
     58663.21     20.8      nan    0.18        P48         ZTF       g  False      AB   False  2023ApJ...943...41C 
 58663.334775  20.1829  20.2254  0.2502      ATLAS       ATLAS    cyan  False      AB   False  2018PASP..130f4505T 
 58665.377139  19.4455  19.4765    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
     58666.17     20.1      nan    0.21        P48         ZTF       r  False      AB   False  2023ApJ...943...41C 
     58666.21    20.58      nan    0.21        P48         ZTF       g  False      AB   False  2023ApJ...943...41C 
     58667.17    20.03      nan    0.24        P48         ZTF       i  False      AB   False  2023ApJ...943...41C 
 58671.323851  19.4458  19.4768    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 58677.327399  19.1963  19.2274    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 58679.315908  19.2554  19.2865    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
