# Wavelength Flux
# STATUS = PUBLIC
# OBJECT = iPTF16bad
# TELESCOPE =
# INSTRUMENT =
# DATE-OBS =
# MJD =
# EXPTIME =
# SLIT =
# DISPERSER =
# SOURCE =
# FILTER =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED =
# PHOTOMETRY_CALIBRATED =
# FLUX_UNITS =
# QUALITY =
# MIN_WAVE =
# MAX_WAVE =
# COMMENT =
4550.0 0.0193098
4550.63623 0.0127037
4551.27246 0.0122259
4551.90869 0.0213509
4552.54492 0.025137
4553.18115 0.0211085
4553.81738 0.0174959
4554.45361 0.0191569
4555.08984 0.0186489
4555.72607 0.0190048
4556.3623 0.0187184
4556.99853 0.0159891
4557.63476 0.0160005
4558.27099 0.0201731
4558.90722 0.0224978
4559.54345 0.027332
4560.17968 0.0252647
4560.81591 0.0201824
4561.45214 0.0202336
4562.08837 0.0191322
4562.7246 0.0167984
4563.36083 0.0182339
4563.99706 0.0261033
4564.63329 0.023405
4565.26952 0.0137555
4565.90575 0.0111853
4566.54198 0.0162139
4567.17821 0.0204531
4567.81444 0.0234214
4568.45067 0.023684
4569.0869 0.0231902
4569.72313 0.0193131
4570.35936 0.014137
4570.99559 0.0154755
4571.63182 0.0160592
4572.26805 0.0164366
4572.90428 0.0166105
4573.54051 0.0111789
4574.17674 0.0158117
4574.81297 0.0205657
4575.4492 0.0202753
4576.08543 0.0157851
4576.72166 0.014568
4577.35789 0.0168688
4577.99412 0.0185645
4578.63035 0.0154746
4579.26658 0.0126504
4579.90281 0.0169139
4580.53904 0.0187702
4581.17527 0.0162318
4581.8115 0.0141186
4582.44773 0.0157735
4583.08396 0.021704
4583.72019 0.0164881
4584.35642 0.0196796
4584.99265 0.0216619
4585.62888 0.0171585
4586.26511 0.0167959
4586.90134 0.0175141
4587.53757 0.0184555
4588.1738 0.0224616
4588.81003 0.0223649
4589.44626 0.016757
4590.08249 0.0138225
4590.71872 0.0130372
4591.35495 0.0184955
4591.99118 0.0237735
4592.62741 0.0198065
4593.26364 0.0184384
4593.89987 0.0233205
4594.5361 0.0236756
4595.17233 0.0194399
4595.80856 0.0159499
4596.44479 0.0178717
4597.08102 0.0224126
4597.71725 0.0229036
4598.35348 0.0205539
4598.98971 0.0202068
