 log(Bfield)      Mns     Pspin  cutoff_power  cutoff_wavelength  fnickel    kappa  kappagamma   mejecta  log(nhhost)  temperature  texplosion  thetaPB      vejecta      A_V        MJD_0   log(KE)      M_Ni  Peak_mag     Peak_MJD 
    13.52752  1.29339  17.12762       3.51726         3037.93722  0.32456  0.01179     0.04111  52.63113     17.62135   9663.11587    -10.2645  1.14041  17755.34472  0.00023  59135.17435  53.23198  29.44359  18.73403  59163.42093 
    12.84429  1.78787   9.51809       3.05282         3702.83575  0.31869  0.01083     0.35659    48.092     17.24546   9706.49262    -9.13488  0.67773  17502.40871   0.0001  59136.30397  53.21322  28.49463  18.95496  59169.70426 
    12.73738  1.54026  19.69099       2.29776         2612.49073  0.46861  0.01009     0.07281  50.47989      20.5268   8742.35559   -13.75716   0.1987  18713.37651  0.18686  59131.68169  53.27472  42.22798  18.96969  59166.78283 
    14.36773  1.54684  14.33049       2.97945         2425.74896  0.44153   0.0128     0.07568  43.39747     19.48589   8085.46262    -17.7402  1.28348  16096.13669  0.01701  59127.69865   53.1332  38.82278  18.98458  59172.62569 
    14.21184  1.70614  12.11965       3.15873          2936.8384  0.42125  0.01104     0.02716  40.10126     19.06007   9811.46674   -11.62301  1.13067   16306.1647  0.00638  59133.81584  53.13878  36.55857  18.84315  59166.78283 
    12.60589  1.31887  14.06116       1.15895         3532.21851  0.46191   0.0101     0.03936   47.0837     20.51248   8285.26399   -11.97503  1.14506  17176.94281   0.1808  59133.46382  53.19543  41.15915  18.90029  59169.37454 
     14.4579  1.86441   7.90983       3.90485         3232.43274  0.30945  0.01268     0.03006  39.94537     17.89912   8856.00274   -12.01751  0.29399  18818.25307  0.00044  59133.42134  53.26295  26.83781  18.91101  59166.78283 
     12.9077   1.5618  18.99548       4.38229          3738.9475  0.47592  0.01169     0.28331   34.3536     20.10633   9436.46723   -12.94237  1.16822  10695.79567  0.07097  59132.49648  52.76116   40.2379  18.86291  59166.78283 
     14.6238   1.7952   4.51938        2.0098         3864.16846  0.47811  0.04938     0.08615  24.08345     20.53742   8986.85727   -17.15537  0.17261  17448.84936  0.19149  59128.28348  53.15904  37.96712   18.8358  59166.78283 
    13.90206  1.65592    3.1241       3.21982         2938.82052  0.08969  0.06543     0.07267  33.26019     17.99308   9162.15943   -29.34741  0.48348  16944.15089  0.00055  59116.09144  53.15836   7.54112  18.91375  59169.37454 
     13.9172  1.44109  24.51268       4.28026         3046.13262  0.49857  0.02247     0.04654  36.63423     19.42264   5914.38314   -10.84922  0.20133  19984.46619   0.0147  59134.58963  53.30886  42.61636  18.81608  59163.86139 
    12.65889   1.9894   28.4319       4.21782         3039.69887  0.40994  0.01046     0.05704  36.77868      17.2898   7863.14804   -10.95134  0.74442  14529.68853  0.00011  59134.48751  53.03228  35.06354  18.88907  59166.78283 
    12.74468  1.72243   8.23634       2.22721          3303.2252  0.37673  0.01111     0.32222  45.94471     19.07238   6833.09184    -12.7409  1.56653   14893.5939  0.00656  59132.69795  53.06981  33.43596  18.88044  59169.37454 
    15.10712  1.59992  10.82634       2.62815         2964.91193  0.42338  0.01427     0.24853  37.54862      17.8773   8706.94197   -14.10678  0.05065  15972.34612  0.00042  59131.33207  53.11602  36.34037  18.93502  59169.70426 
    13.37234  1.55867  15.23518       4.59914          3374.5877  0.37433  0.01018     0.07638  39.78089      16.5354   9393.24607   -13.75375  0.27216   13999.0179    2e-05   59131.6851  53.00569   32.4429  18.90101  59166.78283 
    12.24801  1.87245  15.80692       0.24453          4143.1824   0.2107  0.01021     0.09156  93.22158      19.3747   8796.65212   -19.21267  1.56931  15441.45068  0.01317  59126.22618  53.14857  20.85654  18.93249  59163.86139 
    14.27325  1.60796  26.85953       3.38411         3481.51796  0.23741  0.01111     0.12094  64.77998     16.93926   6917.62936   -15.49843  0.27842  14703.45347    5e-05  59129.94042   53.0823  22.25064  18.95326  59163.86139 
    15.08193  2.17159  21.39715       1.15747          3197.6686  0.42889  0.01255     0.05113  43.48747     19.45611    8441.2766   -11.42535  1.25364  19536.52489  0.01588   59134.0135  53.30159  37.72408  19.06803  59166.78283 
    13.26097  1.58645   8.54894       2.38725         3459.90459  0.30336  0.01017      0.0392  55.70775     16.38689   6037.98248    -8.58501  1.41111  19376.40179    1e-05  59136.85384  53.31178  27.76952    19.073  59175.54712 
    13.41782  1.75832   5.02534       2.14988         3627.61143  0.35946   0.0132     0.01893  39.70855     17.47065   9207.53328   -13.52833  1.32188  16860.49947  0.00016  59131.91052   53.1671  31.14439  18.92782  59169.37454 
    14.20527  1.71353    28.522       2.94922         3054.49501  0.35799  0.01087     0.02991  47.95806     17.46111   9826.24642   -10.88513  0.64475  16559.37371  0.00016  59134.55372  53.16492  31.99464  18.78197  59166.78283 
    14.07399  1.55594   12.3521       4.17362         3279.56856  0.34665   0.0113     0.07585  41.53849     17.46605   9138.08924   -11.40646  1.19092  17022.76264  0.00016  59134.03239  53.17867  30.26097  18.94817  59169.70426 
    14.50197  1.63316   2.02849        0.4462         4632.39318  0.19178  0.15837     0.23134  12.16926      17.5654   4334.13343   -29.61741  0.26131   9776.65552   0.0002  59115.82144  52.59824  13.33624  19.15423  59172.62569 
    14.64339  1.79203   13.2293       4.90571         2881.42749  0.40885  0.01987     0.02062  41.94572     16.25035   7089.35986   -21.70353  0.33374  14791.54235    1e-05  59123.73532  53.05734   35.7484  19.00574  59163.86139 
    14.97668  1.43133  22.39741       4.37153         3732.07172  0.45357  0.01166     0.01071  28.62649     18.28774   8917.04817    -9.15297  0.87812  10715.01116  0.00108  59136.28588  52.74895  37.15203  18.89328  59166.78283 
    14.11196  1.51767   10.6549       2.05113         3834.36088  0.47348  0.01045     0.01852  31.98715     19.01492   9752.83755   -11.58889  1.03458  11697.93791  0.00575  59133.84996  52.83361  39.54289  18.82385  59163.86139 
    12.31601  1.44965   9.92524       1.28907         4115.57195  0.49281  0.01813     0.20907  36.05768     19.45476    6373.0383   -17.24836  0.16704   17049.6534  0.01583  59128.19049  53.16974  42.01113  19.11573  59169.37454 
     13.0325  1.81384   6.60008       2.92785         3971.48726  0.49854  0.01215     0.27847  33.17489     18.66082   9352.02824   -16.44491  0.97686  12357.95241  0.00254  59128.99394  52.88402  41.89889  18.94067  59166.78283 
    12.97652  1.66444  25.52451       3.42209         3476.36523  0.42355  0.01006     0.03352  35.07567        18.07   8498.83798     -7.9063   1.2072  15628.93902  0.00065  59137.53255  53.09213  35.93786  18.94779  59169.70426 
    12.06966  1.52835   8.09826       0.70538         4690.13047   0.4551  0.01659     0.42749  45.34831     19.28032   8182.10077   -15.29963  0.96224  22668.47262  0.01059  59130.13922  53.43373  40.30559  19.13125  59181.38999 
     14.4553  2.02058  13.19134       2.33225         3582.79202  0.49411  0.02694     0.04813  32.56414     19.74157   8152.26254   -17.19646  0.44419  14241.94308  0.03064  59128.24239  53.00588  41.39382  18.84614  59166.78283 
    12.05014  1.72644  10.57945       1.06164         3825.34925  0.39712  0.01069     0.49426  43.89972     18.68743    3281.8348   -10.01806  1.07393  17306.04604   0.0027  59135.42079  53.19697  34.98381  18.85624  59163.86139 
    12.87847  1.89579  18.33509       2.09483         3716.20634  0.34641  0.01506     0.30547  45.50437     16.54172   9686.38638    -13.1379  0.24044  16223.32428    2e-05  59132.30095  53.14341  30.69606   18.9614  59166.78283 
    14.30844  1.33989   6.95283       4.43796         3675.68336  0.31068  0.01335     0.05543  41.45378     19.19366    9028.5089   -11.14422  0.43221  15168.61625  0.00868  59134.29463  53.07836  27.11168  18.78024  59166.78283 
    14.19153  2.01423  23.65379       4.12453         3312.19321  0.45621  0.01068     0.02896  33.13028      18.5505   9066.24534   -11.75795  1.17226    9979.2935  0.00197   59133.6809  52.69823  38.33247  18.94577  59166.78283 
    13.64417  2.05518   3.40254       2.72308         2585.17653  0.08988  0.18765     0.07196   4.09286     16.83564   9063.53679   -23.61356  1.54421  12189.72846    4e-05  59121.82529  52.67824   4.83381  18.90164  59169.37454 
    14.25376  1.77289   1.33419       4.07498         3370.37219  0.04773  0.27688     0.05819  13.91549     18.16125   7908.59275    -27.8049  0.75143    8829.0812  0.00081  59117.63395  52.52163   3.41138  18.91048  59163.42093 
      14.155  1.42008   1.34176        3.7691         4473.87761  0.18187  0.08382     0.02752  64.79774     19.23846   9778.17344   -19.31049  0.91444  10841.29193  0.00962  59126.12836  52.81764  17.04569  18.75933  59166.78283 
    15.04301  1.35458  10.85601       3.84522         3281.51238  0.49092  0.01195     0.02765  30.81351     18.79679    8828.9326    -6.77202  1.37342   15418.1638  0.00348  59138.66683  53.07064  40.73433  19.05334  59169.70426 
      12.849  1.61315  12.26793       2.19219         3337.43705  0.34459  0.01307     0.04043  53.77416     19.95199    8037.8665   -12.95517  0.85647  16917.11003  0.04974  59132.48368  53.19146  31.36742  18.86213  59169.37454 
    14.28653  1.92585  24.68633       3.37267         3748.36931  0.24952  0.01009     0.01692  56.95514     17.97256   9463.05407   -10.40889  1.56079  14845.73097  0.00052  59135.02996  53.08195  22.92054  18.86147  59166.78283 
    14.42119  1.65355   18.2867       3.24007         3163.92429  0.41927  0.01176     0.24498  39.55253     16.94501   6902.74848   -13.42344    0.713  16849.93223    5e-05  59132.01541  53.16627  36.30279  18.88275  59166.78283 
    13.55627  1.51798    7.3839       3.80221         2938.44771  0.21349  0.01038     0.21369   86.0382     19.94758   9202.64706   -12.47774  1.45141    22718.866  0.04924  59132.96111  53.47885  20.88504  18.93744  59163.86139 
    13.35649  1.72668  14.14092       4.07629         3390.87077  0.37383  0.01427     0.07221  42.44364     16.89899    8260.4391   -16.88324  1.47191  13117.77511    4e-05  59128.55561  52.95388  32.74988  18.79477  59163.86139 
      12.539  1.51494    5.2327       3.55817         3134.51623  0.42909  0.01158     0.02028   41.0015     16.97617   9194.73526    -9.31648    1.166   17414.5184    5e-05  59136.12237   53.1975  37.37672  18.94633  59163.86139 
    13.15659  1.69741   10.2871       4.38232         3309.41952  0.45896  0.01329     0.02466  31.06636     17.99361   9688.95588    -9.82676     1.14  16450.00612  0.00055  59135.61209  53.12753  38.13638  18.98116  59166.78283 
    13.71659  1.68359  16.86888       2.99985         3350.46912  0.47297  0.01321     0.48575  32.56848     19.19592   8341.86374    -9.02697  0.25485  16541.40111  0.00872  59136.41188  53.13589  39.62325  18.89433  59166.78283 
      12.936  1.74629   9.77883       2.93333         2856.47171  0.42818  0.01539     0.24442  43.03443     19.08206   9308.99956   -16.50442  1.50823  16367.83267  0.00671  59128.93443  53.14713  37.59698  18.86986  59163.86139 
    13.76411  1.90136   3.25244       0.89509         3524.83666  0.01633  0.07483     0.10203   4.80047     18.55744   5352.99461    -29.2566  0.95275   8009.00396  0.00201  59116.18225  52.33164   0.91593  18.87539  59166.78283 
     14.7941  1.50397  22.83684       1.56537         4203.07041  0.36569   0.0393     0.04046  60.07454     17.53805   7720.05767   -25.71063   1.4693  20775.07753  0.00019  59119.72822  53.37747  33.87428  18.90561  59175.54712 
    12.53105    1.808  26.53212        4.7198         3047.76565  0.41564  0.01028     0.14211  36.61281     17.93694   9931.18586    -9.36378  1.40193  13891.12899  0.00048  59136.07507  52.99291  35.52395  18.97912  59166.78283 
    12.13215  1.45958  14.62057       4.72796         3564.63507  0.47653  0.01104     0.05053   39.4465     20.53501   8789.61046    -9.48379  1.50536  13942.14746  0.19043  59135.95506  53.00154  41.24204  18.91962  59166.78283 
    14.97927  1.53575  28.39109       4.64022         2788.99045  0.47262  0.01857     0.09779  37.65498     16.38801    9464.9822   -12.99332  0.04877  21810.43873    1e-05  59132.44553  53.38682  40.58624  18.75845  59163.42093 
    12.66539  1.73475    6.3404       4.92919         3284.76403  0.27278   0.0115     0.10356  59.48384     18.42315   9528.91998   -15.89573  0.85411  18339.39969  0.00147  59129.54312  53.26848  25.22874  18.92565  59163.42093 
    12.66089  1.69309   7.47153       3.28886         3244.52211  0.44245   0.0165       0.109  38.46395     16.23017   9228.67632   -13.11803  1.01428  19626.67747    1e-05  59132.32082  53.29674  38.13158   18.8732  59169.37454 
    14.90053  2.04079  27.95177        3.6627         3404.79601  0.43794  0.01111     0.02677    34.558     18.51308   9135.18252   -12.73078  0.93971  10569.85516  0.00181  59132.70807  52.75131  37.06407  18.87454  59166.78283 
